Accuracy,Percent Burnt
100,0.036
99,0.012
99,0.018
99,0.03
100,0.048
100,0.036
99,0.042
99,0.018
100,0.012
98,0.03
99,0.042
99,0.018
100,0.018
100,0.059
99,0.024
98,0.042
99,0.09
100,0.059
100,0.048
100,0.065
100,0.036
