Accuracy,Percent Burnt
97,0.0089
100,0.0099
99,0.0111
99,0.0073
99,0.0057
100,0.0062
100,0.0081
99,0.0103
97,0.013
99,0.0071
100,0.0073
99,0.0073
100,0.0091
100,0.0099
99,0.0109
99,0.0084
100,0.0107
98,0.0123
100,0.0078
99,0.0147
