Accuracy,Percent Burnt
100,1.035
100,1.071
100,1.077
99,1.058
100,1.148
100,1.285
100,1.225
96,1.177
99,1.388
95,0.914
100,1.089
97,0.797
100,0.892
96,1.289
100,1.071
100,1.095
99,1.28
100,1.214
98,0.923
97,0.957
