Accuracy,Percent Burnt
99,0.204
100,0.137
98,0.164
96,0.18
95,0.25
100,0.238
97,0.307
96,0.297
100,0.274
95,0.138
96,0.31
98,0.2
98,0.237
99,0.324
98,0.225
100,0.238
100,0.387
98,0.443
100,0.184
96,0.143
98,0.00152
