ExperimentUNCERTAIN+WIND
(0.4490121538937092, 0.49298072651028635, 0.2428918617963791)
(0.13358795203268528, 0.12948894418776036, 0.07346084715798497)
(0.13247903333976865, 0.12388097448274493, 0.08527410518378019)
(0.1377028551325202, 0.12539771616458892, 0.08555715180933475)
(0.11881229704245926, 0.1285515845194459, 0.10131831433624029)
(0.11264028936624527, 0.12066647165454925, 0.08508054628968238)
(0.13233921092934905, 0.10332085177302361, 0.07463867329061032)
(0.1371287164092064, 0.12929482534527778, 0.06288268066942691)
(0.13809062108397485, 0.12732517305761576, 0.08927232265472412)
(0.12499610371887684, 0.11551770206540823, 0.10851185383275151)
(0.1431146676838398, 0.12561110525857658, 0.09762868914753199)
(0.14794184327125548, 0.13641351208090782, 0.07445296134799718)
