ExperimentWINDONLY
(0.15406015381217003, 0.11970211610198021, 0.048185976147651674, 0.016400452945381404)
(0.1293704640865326, 0.13411091439425946, 0.04330290079116821, 0.012001204341650008)
(0.1685061350464821, 0.16404189854860307, 0.049889891147613524, 0.0054178785905241965)
(0.11735293686389923, 0.11008372128009797, 0.038440333604812624, 0.01909584805369377)
(0.11576226368546486, 0.16354608006775379, 0.04090907692909241, 0.02389130715280771)
(0.1645138430967927, 0.15667730450630188, 0.04386686563491821, 0.006124817878007889)
(0.14475416719913484, 0.11439781703054905, 0.040045960545539855, 0.01868757113814354)
(0.17598697744309902, 0.13868447296321393, 0.05413045823574066, 0.014065245389938355)
(0.1386299389600754, 0.15236377887427807, 0.047694021463394166, 0.014213738068938254)
(0.14796487301588057, 0.1554570484161377, 0.050427385568618775, 0.01817281126976013)
(0.11877583757042885, 0.12732901513576508, 0.047351305484771726, 0.006018754839897156)
(0.10794969860464335, 0.13427974604070186, 0.04065279006958008, 0.011797675620764494)
