ExperimentUNCERTAINONLY
(0.13839203536510467, 0.14026433497667312, 0.11924462519586086)
(0.12172924526035786, 0.11495639488101006, 0.12696554444730282)
(0.12127229662612081, 0.1296628288179636, 0.0730294862575829)
(0.10586958512663841, 0.11621213585138321, 0.10090948849916458)
(0.12266771193593741, 0.10961486352607608, 0.0823231640830636)
(0.14826503798365592, 0.14345314502716064, 0.10175542687997222)
(0.12002452030777931, 0.1136524561047554, 0.08139531284570695)
(0.13125736413523556, 0.13218983262777328, 0.0982216140255332)
(0.11846708789467812, 0.11820026502013206, 0.12162051558494567)
(0.11948155667632818, 0.10287129580974579, 0.10916217440739275)
(0.14367718942463398, 0.149652099609375, 0.1093171694688499)
(0.1206910639256239, 0.12422305464744568, 0.09740907341707498)
