Accuracy,Percent Burnt
100,0.1047
99,0.1827
100,0.1422
100,0.1434
100,0.1404
100,0.141
99,0.1472
98,0.1754
99,0.1622
98,0.2282
100,0.2153
99,0.1616
100,0.166
99,0.1965
99,0.1857
100,0.1559
100,0.1386
99,0.1749
100,0.2189
100,0.2201
