Accuracy,Percent Burnt
100,0.0431
99,0.0458
98,0.0764
100,0.0385
100,0.0408
100,0.0385
99,0.0435
100,0.0408
100,0.0431
97,0.0468
100,0.034
100,0.0522
100,0.0522
100,0.0499
99,0.0458
99,0.055
100,0.0454
100,0.0476
100,0.0385
100,0.034
