Accuracy,Percent Burnt
89,0.1697
93,0.1491
86,0.1769
93,0.1569
94,0.1881
90,0.2022
87,0.1646
87,0.2206
94,0.1835
91,0.1734
95,0.1579
86,0.1794
89,0.1555
88,0.2107
94,0.159
92,0.132
