Accuracy,Percent Burnt
77,2.5163
83,3.4546
85,3.2047
82,2.5928
72,2.2796
65,2.4262
85,3.6911
65,2.7044
75,1.7712
80,3.988
84,2.9617
69,3.3572
66,3.1069
76,2.7404
71,2.6376
83,2.7171
80,2.0769
81,3.335
74,2.7405
76,2.2754
